Year,Fashion & Retail,Automotive,Technology,Finance & Investments,Diversified,Telecom,Media & Entertainment,Food & Beverage,Logistics,Manufacturing,Metals & Mining,Gambling & Casinos,Energy,Real Estate,Healthcare,Construction & Engineering,Sports,Service,Fashion & Retail Richest,Automotive Richest,Technology Richest,Finance & Investments Richest,Diversified Richest,Telecom Richest,Media & Entertainment Richest,Food & Beverage Richest,Logistics Richest,Manufacturing Richest,Metals & Mining Richest,Gambling & Casinos Richest,Energy Richest,Real Estate Richest,Healthcare Richest,Construction & Engineering Richest,Sports Richest,Service Richest
2001,81,35,53,102,87,69,20,43,15,66,82,7,33,65,25,16,5,29,Françoise Bettencourt Meyers,Elon Musk,Larry Page,George Soros,Mukesh Ambani,Masayoshi Son,David Geffen,Ernesto Bertarelli,Henry Sy Jr.,Zhang Shiping,Vagit Alekperov,Sheldon Adelson,Harold Hamm,Hui Ka Yan,Thomas Frist,Wang Jianlin,Mike Tyson,Francoise Bettencourt Meyers
2002,87,51,67,115,90,77,20,44,20,74,85,9,34,66,34,22,11,25,Bernard Arnault,Elon Musk,Bill Gates,Warren Buffett,Mukesh Ambani,Masayoshi Son,Rupert Murdoch,Dhanin Chearavanont,Henry Sy Jr.,Zhang Shiping,Andrew Forrest,Phil Ruffin,Charles Koch,Hui Ka Yan,Li Xiting,Ren Zhengfei,Michael Jordan,Francoise Bettencourt Meyers
2003,103,54,75,131,105,85,32,45,24,79,105,14,37,79,40,22,13,26,Françoise Bettencourt Meyers,Stefan Quandt,Jeff Bezos,George Soros,Li Ka-shing,Carlos Slim,David Geffen,Miriam Adelson,Petr Kellner,Gautam Adani,Andrew Forrest,Sheldon Adelson,Gennady Timchenko,Lee Shau Kee,Patrick Soon-Shiong,Ren Zhengfei,Michael Jordan,Dieter Schwarz
2004,109,64,85,144,104,99,35,52,32,89,113,13,46,85,54,28,11,36,Françoise Bettencourt Meyers,Susanne Klatten,Mark Zuckerberg,George Soros,Alice Walton,Masayoshi Son,David Geffen,Miriam Adelson,Henry Sy Jr.,Zhang Shiping,Andrew Forrest,Miriam Adelson,Gennady Timchenko,Donald Bren,Li Xiting,Ren Zhengfei,Roger Federer,Francoise Bettencourt Meyers
2005,115,63,100,155,114,114,35,64,37,83,123,16,49,95,62,24,8,34,Amancio Ortega,Elon Musk,Mark Zuckerberg,Ray Dalio,Li Ka-shing,Carlos Slim,Oprah Winfrey,Ernesto Bertarelli,Petr Kellner,Lakshmi Mittal,Andrew Forrest,Miriam Adelson,Charles Koch,Hui Ka Yan,Patrick Soon-Shiong,Isao Egawa,Michael Jordan,Jeff Bezos
2006,126,80,116,166,116,121,40,67,39,95,126,10,59,109,65,26,13,44,Françoise Bettencourt Meyers,Susanne Klatten,Mark Zuckerberg,George Soros,Li Ka-shing,Masayoshi Son,Rupert Murdoch,Miriam Adelson,Petr Kellner,Lakshmi Mittal,Andrew Forrest,Phil Ruffin,Gennady Timchenko,Lee Shau Kee,Li Xiting,Isao Egawa,Rafael Nadal,Francoise Bettencourt Meyers
2007,138,87,130,183,124,126,42,75,39,102,141,18,64,117,76,36,21,44,Françoise Bettencourt Meyers,Elon Musk,Mark Zuckerberg,Carl Icahn,Li Ka-shing,Sunil Mittal,Oprah Winfrey,Miriam Adelson,Petr Kellner,Lakshmi Mittal,Vagit Alekperov,Sheldon Adelson,Harold Hamm,Hui Ka Yan,Patrick Soon-Shiong,Isao Egawa,David Beckham,Jeff Bezos
2008,140,93,138,200,128,135,53,75,43,102,154,15,74,113,76,38,19,50,Bernard Arnault,Elon Musk,Larry Page,George Soros,Alice Walton,Sunil Mittal,Michael Bloomberg,Dhanin Chearavanont,Henry Sy Jr.,Lakshmi Mittal,Vagit Alekperov,Sheldon Adelson,Charles Koch,Lee Shau Kee,Li Xiting,Wang Jianlin,Serena Williams,Dieter Schwarz
2009,153,93,149,216,131,131,56,82,49,103,142,23,80,107,88,43,21,48,Françoise Bettencourt Meyers,Stefan Quandt,Mark Zuckerberg,Ray Dalio,Mukesh Ambani,Carlos Slim,Rupert Murdoch,Miriam Adelson,Henry Sy Jr.,Gautam Adani,Andrew Forrest,Sheldon Adelson,Harold Hamm,Lee Shau Kee,Li Xiting,Isao Egawa,Cristiano Ronaldo,Dieter Schwarz
2010,166,104,165,229,138,131,57,88,52,108,141,14,85,103,95,43,28,56,Bernard Arnault,Elon Musk,Bill Gates,Carl Icahn,Alice Walton,Masayoshi Son,Rupert Murdoch,Dhanin Chearavanont,Petr Kellner,Lakshmi Mittal,Vagit Alekperov,Miriam Adelson,Charles Koch,Hui Ka Yan,Patrick Soon-Shiong,Ren Zhengfei,Cristiano Ronaldo,Jeff Bezos
2011,175,108,176,243,142,130,63,88,59,120,139,22,87,105,96,48,24,54,Françoise Bettencourt Meyers,Stefan Quandt,Jeff Bezos,George Soros,Alice Walton,Masayoshi Son,David Geffen,Dhanin Chearavanont,Petr Kellner,Lakshmi Mittal,Gina Rinehart,Sheldon Adelson,Harold Hamm,Hui Ka Yan,Patrick Soon-Shiong,Ren Zhengfei,Cristiano Ronaldo,Jeff Bezos
2012,181,120,195,249,141,127,65,90,68,118,133,19,91,114,107,46,22,59,Bernard Arnault,Elon Musk,Jeff Bezos,Carl Icahn,Li Ka-shing,Masayoshi Son,Rupert Murdoch,Ernesto Bertarelli,Petr Kellner,Lakshmi Mittal,Andrew Forrest,Miriam Adelson,Gennady Timchenko,Hui Ka Yan,Patrick Soon-Shiong,Isao Egawa,Michael Jordan,Dieter Schwarz
2013,187,121,204,271,145,136,63,95,68,121,126,22,97,120,115,49,31,64,Amancio Ortega,Elon Musk,Jeff Bezos,Ray Dalio,Alice Walton,Carlos Slim,Rupert Murdoch,Miriam Adelson,Henry Sy Jr.,Gautam Adani,Gina Rinehart,Sheldon Adelson,Gennady Timchenko,Hui Ka Yan,Thomas Frist,Isao Egawa,Lionel Messi,Jeff Bezos
