Name,"Education_Status (Educated, Dropout, Self-Taught)","Highest_Degree (Bachelor’s, Master’s, PhD, None)",Graduation_Year,University_Name,Field_of_Study,Startup_Founded (Yes/No),Industry,Age_First_Million
Chatri Sophonpanich & family,Dropout,None,,No Formal University,None,Yes,Telecom,30
King Bhumibol Adulyadej,Educated,Bachelor’s,1966.0,ETH Zurich,History,Yes,Manufacturing,35
Edmond Safra,Educated,Bachelor’s,1974.0,University of Tokyo,Computer Science,Yes,Manufacturing,28
Srichand & Gopichand Hinduja,Dropout,None,,No Formal University,None,No,Finance,36
Dieter Schwarz,Educated,PhD,1960.0,No Formal University,None,Yes,Telecom,35
Carlos Ardila Lülle,Educated,Bachelor’s,2008.0,MIT,Economics,Yes,Real Estate,25
Martin Ebner,Educated,Bachelor’s,1976.0,No Formal University,Economics,No,Manufacturing,25
Jose Luis Cutrale,Self-Taught,None,,No Formal University,None,No,Tech,39
Lee family,Educated,Master’s,2015.0,MIT,Computer Science,Yes,Telecom,24
Serge Kampf,Educated,Bachelor’s,1978.0,Harvard University,None,Yes,Media,25
Christoph Henkel,Educated,Bachelor’s,2013.0,MIT,Engineering,No,Retail,28
Alexander Vik,Dropout,None,,No Formal University,None,Yes,Manufacturing,42
Masahiro Noda,Educated,Master’s,1970.0,University of Oxford,Law,No,Telecom,44
Kagemasa Kozuki,Educated,Master’s,2013.0,No Formal University,None,Yes,Finance,23
Shigefumi Wada,Self-Taught,None,,No Formal University,None,No,Retail,24
Bill Gates,Educated,PhD,2005.0,MIT,Engineering,No,Real Estate,42
Warren Buffett,Educated,Bachelor’s,1975.0,ETH Zurich,Computer Science,No,Telecom,40
Paul Allen,Educated,Master’s,1983.0,Stanford University,Engineering,No,Tech,23
Lawrence Ellison,Self-Taught,None,,No Formal University,None,Yes,Telecom,27
Prince Alwaleed Bin Talal Alsaud,Dropout,None,,No Formal University,None,No,Manufacturing,24
Jim Walton,Educated,Master’s,1989.0,University of Tokyo,Business,Yes,Telecom,45
David Sainsbury,Educated,PhD,2008.0,MIT,None,No,Tech,31
S. Robson Walton,Educated,Bachelor’s,2006.0,ETH Zurich,Business,Yes,Manufacturing,25
Alice Walton,Self-Taught,None,,No Formal University,None,No,Media,42
Johanna Quandt,Educated,Bachelor’s,1983.0,No Formal University,Engineering,Yes,Manufacturing,32
Steve Ballmer,Educated,Bachelor’s,1983.0,No Formal University,None,No,Finance,23
Michael Kadoorie & family,Educated,Master’s,1965.0,Harvard University,History,No,Media,24
Liliane Bettencourt,Self-Taught,None,,No Formal University,None,Yes,Finance,43
Philip Anschutz,Educated,Master’s,1976.0,University of Tokyo,None,No,Finance,39
Ingvar Kamprad & family,Dropout,None,,No Formal University,None,Yes,Telecom,31
Ka-shing Li,Educated,Master’s,1983.0,University of Oxford,Computer Science,No,Tech,29
Sumner Redstone,Educated,Bachelor’s,1997.0,University of Tokyo,Engineering,Yes,Tech,24
Anne Cox Chambers,Dropout,None,,No Formal University,None,Yes,Finance,24
Kwok family,Self-Taught,None,,No Formal University,None,No,Tech,38
Carlos Slim Helu & family,Educated,Master’s,1973.0,University of Tokyo,Engineering,No,Finance,37
Bernard Arnault,Self-Taught,None,,No Formal University,None,Yes,Tech,25
Ernesto Bertarelli & family,Dropout,None,,No Formal University,None,No,Real Estate,35
Michael Dell,Educated,Master’s,2003.0,ETH Zurich,History,Yes,Tech,34
Silvio Berlusconi & family,Dropout,None,,No Formal University,None,Yes,Finance,28
Abigail Johnson,Educated,Bachelor’s,1987.0,Stanford University,Business,No,Finance,24
Forrest Mars,Educated,PhD,1995.0,Harvard University,Economics,Yes,Tech,29
Jacqueline Mars,Educated,Bachelor’s,1973.0,No Formal University,Law,Yes,Finance,34
John Mars,Educated,Bachelor’s,2010.0,No Formal University,Law,No,Real Estate,44
Birgit Rausing & family,Self-Taught,None,,No Formal University,None,No,Finance,28
Charles Ergen,Educated,PhD,1997.0,ETH Zurich,Computer Science,Yes,Telecom,32
"Robert E ""Ted"" Turner",Educated,Master’s,1992.0,No Formal University,Computer Science,Yes,Tech,38
Rupert Murdoch,Educated,Bachelor’s,1998.0,Harvard University,History,Yes,Real Estate,25
Hans Rausing,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,41
Azim Premji,Educated,Bachelor’s,2002.0,University of Tokyo,Computer Science,No,Retail,28
Leonardo Del Vecchio,Dropout,None,,No Formal University,None,No,Finance,30
Amancio Ortega,Educated,Master’s,1979.0,University of Oxford,Business,Yes,Tech,36
Gerald Cavendish Grosvenor & family,Dropout,None,,No Formal University,None,Yes,Tech,39
Kirk Kerkorian,Educated,Bachelor’s,1982.0,Harvard University,Engineering,No,Retail,27
Francois Pinault & family,Educated,Master’s,1979.0,University of Tokyo,None,Yes,Telecom,39
Charles Schwab,Educated,Master’s,1968.0,MIT,Economics,Yes,Telecom,39
Nasser Al-Kharafi & family,Educated,Bachelor’s,1973.0,ETH Zurich,Business,Yes,Telecom,42
George Soros,Self-Taught,None,,No Formal University,None,No,Retail,23
Shau Kee Lee,Educated,Bachelor’s,1977.0,Harvard University,Economics,No,Media,26
Eli Broad,Dropout,None,,No Formal University,None,No,Finance,45
James Goodnight,Educated,Master’s,1995.0,Harvard University,Economics,Yes,Telecom,26
Masayoshi Son,Educated,PhD,1997.0,University of Tokyo,Engineering,No,Finance,23
Luciano Benetton,Educated,PhD,2010.0,No Formal University,Economics,No,Finance,43
Thomas Pritzker,Educated,Bachelor’s,2009.0,University of Tokyo,None,No,Manufacturing,45
Curt Engelhorn,Educated,PhD,2015.0,Stanford University,None,Yes,Real Estate,22
Gordon Moore,Educated,PhD,2010.0,University of Oxford,None,Yes,Retail,27
Hasso Plattner,Dropout,None,,No Formal University,None,Yes,Real Estate,23
Gustavo Cisneros & family,Self-Taught,None,,No Formal University,None,Yes,Finance,36
Walter Haefner,Educated,PhD,2015.0,Stanford University,Engineering,Yes,Telecom,28
Stefan Persson,Educated,Bachelor’s,1964.0,No Formal University,Business,No,Telecom,38
Donald Newhouse,Educated,PhD,1994.0,MIT,Economics,Yes,Retail,27
Samuel Newhouse,Educated,PhD,1962.0,Harvard University,Computer Science,No,Retail,45
Michael Otto & family,Dropout,None,,No Formal University,None,No,Manufacturing,38
August von Finck,Educated,PhD,1972.0,MIT,Economics,No,Tech,38
Alain &#38; Gerard Wertheimer,Self-Taught,None,,No Formal University,None,Yes,Retail,35
Serge Dassault & family,Educated,Master’s,1981.0,University of Tokyo,Business,Yes,Telecom,31
Gunter Herz,Educated,Master’s,1980.0,University of Oxford,History,No,Manufacturing,26
Tadashi Yanai & family,Educated,Master’s,1984.0,ETH Zurich,History,Yes,Manufacturing,40
Rolf Gerling,Educated,Master’s,1960.0,MIT,Business,Yes,Real Estate,40
Edward Johnson,Dropout,None,,No Formal University,None,No,Real Estate,36
Spiro Latsis & family,Educated,Bachelor’s,1990.0,No Formal University,None,Yes,Telecom,24
Michael Bloomberg,Educated,Master’s,1999.0,MIT,Economics,Yes,Telecom,31
