Name,Country,Net_Worth_Billions,Source_of_Wealth,Wealth_Type,Generation_of_Wealth,Age_Became_Billionaire,Education_Level,Company_Founded,Philanthropy_Level
Chatri Sophonpanich & family,USA,22.22,Tech,Self-Made,First Generation,48,Dropout,Yes,Medium
King Bhumibol Adulyadej,Thailand,73.26,Manufacturing,Self-Made,Second Generation,34,Bachelor’s,Yes,Medium
Edmond Safra,Brazil,46.5,Manufacturing,Inherited,Multi-Generational,25,Bachelor’s,No,Low
Srichand & Gopichand Hinduja,Saudi Arabia,59.26,Tech,Inherited,Multi-Generational,33,Bachelor’s,No,Low
Dieter Schwarz,Thailand,73.14,Finance,Self-Made,First Generation,25,Dropout,No,Medium
Carlos Ardila Lülle,Japan,41,Media,Self-Made,Second Generation,51,Dropout,Yes,Medium
Martin Ebner,India,37.39,Media,Inherited,Second Generation,23,Master’s,No,Low
Jose Luis Cutrale,Japan,90.21,Energy,Inherited,Second Generation,22,Bachelor’s,No,Low
Lee family,UK,89.93,Manufacturing,Self-Made,First Generation,34,PhD,Yes,Medium
Serge Kampf,UK,64.27,Manufacturing,Self-Made,Multi-Generational,33,Bachelor’s,Yes,Medium
Christoph Henkel,Brazil,73.67,Manufacturing,Self-Made,First Generation,35,Bachelor’s,No,Medium
Alexander Vik,Germany,93.83,Retail,Inherited,Multi-Generational,37,PhD,No,High
Masahiro Noda,Switzerland,28.18,Media,Self-Made,First Generation,55,PhD,Yes,Low
Kagemasa Kozuki,Japan,39.19,Finance,Self-Made,First Generation,28,Dropout,Yes,Medium
Shigefumi Wada,Switzerland,43.02,Retail,Self-Made,Second Generation,36,Dropout,No,Low
Bill Gates,UK,31.76,Tech,Self-Made,First Generation,44,Master’s,Yes,Low
Warren Buffett,USA,57.01,Finance,Self-Made,First Generation,30,Bachelor’s,No,Medium
Paul Allen,USA,9.5,Media,Self-Made,First Generation,45,Bachelor’s,Yes,Low
Lawrence Ellison,Japan,28.8,Manufacturing,Inherited,Second Generation,27,Dropout,No,Medium
Prince Alwaleed Bin Talal Alsaud,Switzerland,38.78,Manufacturing,Self-Made,Second Generation,49,Bachelor’s,Yes,Low
Jim Walton,Germany,80.64,Energy,Self-Made,First Generation,25,Dropout,No,Low
David Sainsbury,USA,8.13,Energy,Self-Made,First Generation,48,Bachelor’s,Yes,Medium
S. Robson Walton,UK,98.69,Real Estate,Self-Made,First Generation,33,Bachelor’s,Yes,Low
Alice Walton,India,89.36,Tech,Self-Made,First Generation,52,Bachelor’s,Yes,High
Johanna Quandt,India,50.08,Tech,Self-Made,Second Generation,37,None,Yes,Low
Steve Ballmer,Germany,11.6,Media,Self-Made,First Generation,36,Master’s,Yes,High
Michael Kadoorie & family,India,80.5,Retail,Inherited,Second Generation,20,Dropout,No,High
Liliane Bettencourt,Thailand,72.54,Energy,Inherited,Second Generation,35,Bachelor’s,No,Low
Philip Anschutz,Switzerland,45.94,Energy,Self-Made,First Generation,54,Bachelor’s,No,Low
Ingvar Kamprad & family,Thailand,40.37,Media,Self-Made,First Generation,37,Bachelor’s,Yes,Medium
Ka-shing Li,USA,83.29,Energy,Self-Made,Second Generation,53,Master’s,Yes,Low
Sumner Redstone,Japan,7.4,Real Estate,Self-Made,First Generation,43,PhD,No,Low
Anne Cox Chambers,Brazil,60.8,Finance,Self-Made,Second Generation,38,None,Yes,Low
Kwok family,Saudi Arabia,52.22,Media,Self-Made,First Generation,33,Master’s,Yes,Low
Carlos Slim Helu & family,Thailand,58.65,Tech,Self-Made,First Generation,34,Dropout,No,Medium
Bernard Arnault,Saudi Arabia,64.23,Retail,Self-Made,Second Generation,42,Master’s,Yes,Low
Ernesto Bertarelli & family,UK,80.27,Finance,Inherited,Second Generation,36,Bachelor’s,No,Medium
Michael Dell,USA,49.2,Media,Self-Made,Multi-Generational,36,Bachelor’s,Yes,Medium
Silvio Berlusconi & family,USA,66.74,Tech,Self-Made,First Generation,33,Master’s,Yes,Medium
Abigail Johnson,Brazil,24.8,Tech,Inherited,Multi-Generational,40,Master’s,No,Low
Forrest Mars,Thailand,94.32,Real Estate,Inherited,Multi-Generational,30,Bachelor’s,No,Low
Jacqueline Mars,Brazil,65.17,Media,Self-Made,First Generation,37,Master’s,Yes,Low
John Mars,Saudi Arabia,62.34,Retail,Self-Made,Multi-Generational,42,Bachelor’s,Yes,Medium
Birgit Rausing & family,Thailand,49.11,Manufacturing,Self-Made,First Generation,54,Master’s,Yes,Medium
Charles Ergen,India,78.95,Manufacturing,Inherited,Multi-Generational,38,PhD,No,Medium
"Robert E ""Ted"" Turner",UK,17.6,Finance,Inherited,Multi-Generational,32,Bachelor’s,No,Low
Rupert Murdoch,Germany,25.91,Energy,Self-Made,Multi-Generational,45,Dropout,No,High
Hans Rausing,Switzerland,72.32,Energy,Inherited,Second Generation,27,Bachelor’s,No,Low
Azim Premji,Thailand,57.62,Tech,Self-Made,First Generation,55,Bachelor’s,Yes,Medium
Leonardo Del Vecchio,Germany,46.69,Finance,Self-Made,First Generation,25,Bachelor’s,Yes,Medium
Amancio Ortega,USA,76.04,Real Estate,Inherited,Multi-Generational,32,Master’s,No,Medium
