age,count
18,3
19,3
20,1
21,3
22,2
23,1
24,3
25,3
26,8
27,4
28,8
29,10
30,12
31,12
32,15
33,23
34,31
35,26
36,40
37,32
38,42
39,62
40,54
41,71
42,49
43,81
44,106
45,109
46,107
47,117
48,128
49,144
50,138
51,146
52,131
53,139
54,140
55,148
56,149
57,185
58,157
59,140
60,135
61,117
62,129
63,121
64,122
65,124
66,105
67,114
68,96
69,102
70,101
71,74
72,85
73,66
74,74
75,66
76,67
77,77
78,59
79,51
80,37
81,46
82,39
83,29
84,28
85,27
86,31
87,18
88,18
89,14
90,11
91,9
92,10
93,2
94,1
95,5
96,2
97,2
98,2
