year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
1997,7,,2.0 B,Sophonpanich,Chatri,Chatri Sophonpanich & family,1934-02-28,73,Male,Thailand,Thailand,Bangkok,Finance and Investments,['Finance and Investments'],,,False,
1997,7,,1.8 B,Adulyadej,King Bhumibol,King Bhumibol Adulyadej,1927-12-05,69,Male,Thailand,,,,,,,False,
1998,7,,3.3 B,Safra,Edmond,Edmond Safra,1932-08-06,65,Male,Lebanon,Lebanon,,,,,,True,
1999,7,,1.0 B,Hinduja,"Srichand, Gopichand,",Srichand & Gopichand Hinduja,1935-11-28,,,India,United Kingdom,London,,,,,False,
1999,7,,7.1 B,Schwarz,Dieter,Dieter Schwarz,1939-09-24,59,Male,Germany,Germany,Neckarsulm,Fashion & Retail,['Fashion & Retail'],,,True,
1999,7,,1.3 B,Ardila Lulle,Carlos,Carlos Ardila Lülle,1930-06-04,68,Male,Colombia,Colombia,Bogota,Food and Beverage,['Food and Beverage'],,,True,
1999,7,,2.9 B,Ebner,Martin,Martin Ebner,1945-08-01,53,Male,Switzerland,Switzerland,Wilen,Finance and Investments,['Finance and Investments'],,,False,
1999,7,,1.0 B,Cutrale,Jose,Jose Luis Cutrale,1946-09-17,,Male,Brazil,Brazil,Sao Paulo,Food and Beverage,['Food and Beverage'],,,True,
1999,7,,1.1 B,Lee,Peter,Lee family,,71,Male,Hong Kong,Hong Kong,Hong Kong,,,,,False,
1999,7,,1.8 B,Kampf,Serge,Serge Kampf,1934-01-01,65,Male,France,,,,,,,False,
1999,7,,2.5 B,Safra,Edmond,Edmond Safra,1932-08-06,66,Male,Lebanon,,,,,,,True,
2000,7,,1.0 B,Cutrale,Jose,Jose Luis Cutrale,1946-09-17,,Male,Brazil,Brazil,Sao Paulo,Food and Beverage,['Food and Beverage'],,,True,
2000,7,,1.9 B,Ebner,Martin,Martin Ebner,1945-08-01,54,Male,Switzerland,Switzerland,Wilen,Finance and Investments,['Finance and Investments'],,,False,
2000,7,,4.5 B,Henkel,,Christoph Henkel,1958-02-11,,,Germany,United Kingdom,London,Fashion & Retail,['Fashion & Retail'],,,False,
2000,7,,2.9 B,Vik,Alexander,Alexander Vik,1955-02-19,45,Male,Norway,Monaco,Monaco,Finance and Investments,['Finance and Investments'],,Investor,False,
2000,7,,1.2 B,Noda,Masahiro,Masahiro Noda,1938-08-24,61,Male,Japan,Japan,Tokyo,Technology,['Technology'],,,True,
2000,7,,1.2 B,Kozuki,Kagemasa,Kagemasa Kozuki,1940-11-12,59,Male,Japan,Japan,Tokyo,Technology,['Technology'],,,True,
2000,7,,2.1 B,Kampf,Serge,Serge Kampf,1934-01-01,66,Male,France,,,,,,,True,
2000,7,0,1.4 B,Wada,Shigefumi,Shigefumi Wada,1952-08-30,47,Male,Japan,Japan,"Nakano, Tokyo",,,,,True,
2001,7,1,58.7 B,Gates,William,Bill Gates,1955-10-28,45,Male,United States,United States,Medina,,['Technology'],,,False,
2001,7,2,32.3 B,,,Warren Buffett,,70,,United States,United States,Omaha,,['Finance'],,,,
2001,7,3,30.4 B,Allen,Paul,Paul Allen,1953-01-21,48,Male,United States,United States,Mercer Island,,['Technology'],,,False,
2001,7,4,26.0 B,,,Lawrence Ellison,,56,,United States,United States,Atherton,,['Software'],,,,
2001,6,5,5.6 B,Henkel,,Christoph Henkel,1958-02-11,,,Germany,United Kingdom,London,Fashion & Retail,['Fashion & Retail'],,,False,
2001,7,6,20.0 B,,,Prince Alwaleed Bin Talal Alsaud,,44,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2001,7,7,18.8 B,,,Jim Walton,,53,,United States,United States,Bentonville,,['Retail'],,,,
2001,7,8,4.7 B,,,David Sainsbury,,60,,United Kingdom,United Kingdom,London,,['Retail'],,,,
2001,7,9,18.6 B,,,S. Robson Walton,,57,,United States,United States,Bentonville,,['Retail'],,,,
2001,7,10,18.5 B,,,Alice Walton,,52,,United States,United States,Fort Worth,,['Retail'],,,,
2001,7,12,17.8 B,,,Johanna Quandt,,74,,Germany,Germany,Bad Homburg,,,,,,
2001,7,13,16.6 B,Ballmer,Steven,Steve Ballmer,1956-03-24,45,Male,United States,United States,Hunts Point,,['Technology'],,,False,
2001,7,13,3.4 B,,,Michael Kadoorie & family,,60,,Hong Kong,China,Hong Kong,,,,,,
2001,7,15,15.6 B,,,Liliane Bettencourt,,75,,France,France,Paris,,['Pharmaceuticals'],,,,
2001,7,16,15.3 B,,,Philip Anschutz,,61,,United States,United States,Denver,,,,,,
2001,7,17,13.0 B,,,Ingvar Kamprad & family,,75,,Sweden,Sweden,"Lausanne, Switz",,['Retail'],,,,
2001,7,18,12.6 B,,,Ka-shing Li,,73,,Hong Kong,Hong Kong,Chaozhou,,,,,,
2001,7,18,12.6 B,,,Sumner Redstone,,78,,United States,United States,Newton Centre,,['Media'],,,,
2001,7,21,11.7 B,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,81,Female,United States,United States,Atlanta,,['Media'],,,False,
2001,7,23,11.5 B,,,Kwok family,,0,,Hong Kong,Hong Kong,,,['Real Estate'],,,,
2001,7,25,10.8 B,,,Carlos Slim Helu & family,,61,,Mexico,Mexico,Mexico City,,,,,,
2001,7,26,10.7 B,,,Bernard Arnault,,52,,France,France,Paris,,,,,,
2001,7,27,10.5 B,,,Ernesto Bertarelli & family,,35,,Switzerland,Switzerland,Geneva,,['Pharmaceuticals'],,,,
