country,year,billionaire_count,total_net_worth,gdp
United States,2001,182,695.0,13848757308000.0
Germany,2001,16,75.3,2931769559373.65
Japan,2001,13,39.0,4002148544213.45
Hong Kong,2001,11,44.0,180517138599.332
United Kingdom,2001,10,24.9,2351181825459.11
France,2001,9,51.6,2064338989662.44
Canada,2001,8,21.0,1185010810019.45
Italy,2001,8,31.4,1894119928516.21
Mexico,2001,8,24.1,940766441516.06
Switzerland,2001,7,28.3,538186453673.233
Russia,2001,5,7.4,820235350096.64
Spain,2001,5,11.0,1016292009212.74
Sweden,2001,5,36.0,373752198445.95
Brazil,2001,4,9.7,1202909097080.86
India,2001,4,12.6,839151992864.812
Israel,2001,4,8.9,184909585609.537
Malaysia,2001,4,7.3,149038923296.259
Saudi Arabia,2001,3,25.1,354907696182.41
Turkey,2001,3,8.2,390030497194.88
Norway,2001,2,2.6,310995308463.367
Philippines,2001,2,2.5,147150196392.071
South Africa,2001,2,5.8,227677653424.683
South Korea,2001,2,2.6,837696366558.277
Taiwan,2001,2,3.4,0.0
Venezuela,2001,2,9.8,584908988.761765
Argentina,2001,1,1.7,378202665751.853
Australia,2001,1,2.2,890323770708.066
Belgium,2001,1,1.0,371841896085.61
Chile,2001,1,1.3,135383217068.298
Colombia,2001,1,1.5,159651401476.819
Denmark,2001,1,1.9,265566018347.455
Egypt,2001,1,1.0,186035425185.202
Greece,2001,1,4.6,203582678509.383
Ireland,2001,1,2.1,170876017042.921
Kuwait,2001,1,6.0,61395143329.1037
Portugal,2001,1,1.0,197441874156.334
Singapore,2001,1,1.0,139028385430.873
Thailand,2001,1,1.2,229082063572.247
United Arab Emirates,2001,1,1.9,203214232274.451
United States,2002,176,628.6,14084248131000.0
Germany,2002,19,73.4,2925076028983.88
Japan,2002,12,23.4,4003827945768.8
United Kingdom,2002,10,24.0,2393401075136.18
Canada,2002,9,22.1,1220552310131.93
France,2002,9,41.0,2086380974391.26
Hong Kong,2002,8,33.6,183507767694.799
Italy,2002,8,26.3,1899232719248.01
Mexico,2002,7,22.7,938540700989.319
Russia,2002,6,11.1,858786345187.109
Sweden,2002,6,39.8,382265044440.179
Switzerland,2002,6,23.7,537792409245.141
Brazil,2002,5,9.8,1239639467559.79
India,2002,4,11.1,871073127580.09
Malaysia,2002,4,8.1,157073594223.932
Philippines,2002,4,5.3,152618672925.332
Saudi Arabia,2002,4,25.9,352464483341.616
Spain,2002,4,12.6,1044295489916.35
Turkey,2002,4,9.8,415178579551.82
Israel,2002,3,6.3,184684975515.63
Australia,2002,2,3.1,925754967998.798
Greece,2002,2,4.8,213116734983.165
South Africa,2002,2,4.4,236102579035.79
Taiwan,2002,2,4.2,0.0
Thailand,2002,2,2.3,243168402250.2
Venezuela,2002,2,9.4,616155570.210815
Argentina,2002,1,1.0,336999433710.193
Belgium,2002,1,1.0,378188843495.686
Chile,2002,1,1.5,139719269580.07
China,2002,1,1.0,3275124420038.43
Colombia,2002,1,1.1,163649041384.447
Denmark,2002,1,2.1,266778406866.579
Ireland,2002,1,2.2,180956619566.626
Kuwait,2002,1,5.7,63245766790.5716
Netherlands,2002,1,4.3,664292962312.29
Norway,2002,1,1.3,315279446109.331
Singapore,2002,1,1.2,144482970559.889
South Korea,2002,1,2.5,902409606062.147
United Arab Emirates,2002,1,1.8,208159362850.444
United States,2003,165,556.8,14477988212000.0
Germany,2003,28,76.6,2909575203020.53
Canada,2003,11,26.6,1242600185625.17
Russia,2003,11,23.5,921477339133.556
United Kingdom,2003,11,25.9,2468849371075.25
Japan,2003,10,21.4,4065291729511.6
France,2003,9,37.4,2106573536491.98
Hong Kong,2003,7,25.4,189116286715.7
India,2003,7,17.4,939542798342.002
Italy,2003,7,23.9,1900496731808.66
Mexico,2003,6,16.6,949667522095.5
Switzerland,2003,6,16.0,537618172697.61
Spain,2003,5,15.5,1074990359309.76
Sweden,2003,5,43.9,389455236312.007
Saudi Arabia,2003,4,23.6,383371235700.082
Brazil,2003,3,4.9,1253781634079.45
Israel,2003,3,5.0,187390716950.388
Malaysia,2003,3,6.5,166165798103.902
Netherlands,2003,3,5.8,664942855049.922
Turkey,2003,3,4.8,439106176635.555
Philippines,2003,2,3.1,160382249192.659
Singapore,2003,2,2.9,151054425108.65
South Africa,2003,2,4.2,243065422272.369
Taiwan,2003,2,3.4,0.0
Thailand,2003,2,2.4,260650370324.981
Venezuela,2003,2,8.3,657384613.723085
Argentina,2003,1,1.6,366780211148.674
Australia,2003,1,1.8,954367849882.364
Austria,2003,1,1.0,321358930858.678
Belgium,2003,1,1.0,382114274583.92
Chile,2003,1,1.4,146318553367.333
Colombia,2003,1,1.0,170061255792.911
Denmark,2003,1,2.3,267955142394.956
Greece,2003,1,3.3,225470734967.324
Ireland,2003,1,2.3,186410360281.181
Kuwait,2003,1,5.1,74203741257.9195
Norway,2003,1,1.0,318258551203.885
South Korea,2003,1,2.8,930811064125.151
United Arab Emirates,2003,1,2.0,226478512535.33
United States,2004,204,706.3,15035068144000.0
Germany,2004,34,134.6,2943395181897.32
Russia,2004,17,52.8,987823227180.876
United Kingdom,2004,15,41.2,2529531328675.57
Canada,2004,13,36.7,1281025904373.69
Japan,2004,13,33.8,4154163710034.48
Hong Kong,2004,11,46.3,205569444182.476
Italy,2004,10,35.1,1928510465520.9
France,2004,9,56.7,2166995343999.61
India,2004,9,31.9,1013982178697.24
Sweden,2004,8,53.3,405732636290.608
Mexico,2004,6,25.8,983527357381.896
Spain,2004,6,17.3,1108471272156.69
Switzerland,2004,6,23.0,552143052382.242
Brazil,2004,5,7.8,1325999012823.98
Israel,2004,5,11.4,196159322413.276
Taiwan,2004,5,9.3,0.0
Malaysia,2004,4,10.5,177437551536.374
Norway,2004,4,6.5,331035320863.904
Saudi Arabia,2004,4,27.3,416459918451.805
Turkey,2004,4,6.1,482120738379.834
Australia,2004,3,4.8,994683066030.821
Austria,2004,3,7.1,329602607197.97
Netherlands,2004,3,7.7,678350164439.719
Singapore,2004,3,6.8,166069208808.394
Colombia,2004,2,2.8,179130660092.783
Philippines,2004,2,2.9,170918125634.499
South Africa,2004,2,6.1,254135982543.496
Thailand,2004,2,3.3,277043563911.345
Venezuela,2004,2,8.7,684434010.56457
Argentina,2004,1,1.6,399898899166.738
Belgium,2004,1,1.2,395760365571.447
Chile,2004,1,2.8,156084225513.219
China,2004,1,1.1,3968365429214.8
Denmark,2004,1,2.5,275394519939.124
Greece,2004,1,4.4,237596249633.379
Ireland,2004,1,2.4,199064153976.926
Kuwait,2004,1,8.4,81802425533.3891
Portugal,2004,1,1.2,200638424065.227
South Korea,2004,1,3.4,979188957980.11
United Arab Emirates,2004,1,3.7,248144435934.961
United States,2005,261,834.8,15558822251000.0
Germany,2005,40,147.9,2969464751675.73
Russia,2005,26,88.4,1051043572407.72
United Kingdom,2005,17,43.3,2598654838739.17
Canada,2005,14,43.6,1322152656328.7
Japan,2005,14,42.0,4229100705435.47
Hong Kong,2005,12,54.3,220757235362.652
France,2005,11,67.0,2207920477001.03
India,2005,10,58.6,1094324353140.52
Italy,2005,9,52.2,1943213636038.87
Spain,2005,8,25.3,1147835586804.09
Sweden,2005,8,60.2,417065466380.565
Brazil,2005,7,13.4,1368459252346.2
Mexico,2005,7,37.3,1004311720993.85
Turkey,2005,7,14.9,525474505335.922
Israel,2005,6,15.4,204428481197.204
Switzerland,2005,6,23.2,567325324289.261
Malaysia,2005,5,14.7,186898768708.901
Saudi Arabia,2005,5,35.6,441218019303.431
Taiwan,2005,5,9.7,0.0
Australia,2005,4,7.2,1026057036344.3
Netherlands,2005,4,10.5,692147557481.115
Norway,2005,4,8.2,339924026041.128
Austria,2005,3,8.0,337250591613.85
Kazakhstan,2005,3,3.0,108382181835.458
Philippines,2005,3,5.1,179365762742.902
Singapore,2005,3,8.7,178302402123.907
Thailand,2005,3,6.9,288645146658.334
Colombia,2005,2,6.2,187780451739.376
Poland,2005,2,2.0,328168510412.522
South Africa,2005,2,8.3,267546870424.295
South Korea,2005,2,5.8,1021377732486.55
Ukraine,2005,2,3.7,101005170642.268
Venezuela,2005,2,9.1,701466543.367696
Argentina,2005,1,1.7,435296589745.339
Belgium,2005,1,1.8,404948884226.677
Chile,2005,1,2.7,165194933110.731
China,2005,1,1.6,4420544471398.72
Denmark,2005,1,2.5,281892753356.482
Egypt,2005,1,5.2,213758163785.626
Greece,2005,1,7.5,240408215746.072
Indonesia,2005,1,2.0,497631790460.651
Ireland,2005,1,2.5,210490003157.074
Kuwait,2005,1,9.0,90480881656.2481
Monaco,2005,1,1.0,4259876164.74801
Portugal,2005,1,1.7,202207111084.663
United Arab Emirates,2005,1,3.9,260192198668.463
United States,2006,292,958.1,15992063824000.0
Germany,2006,40,155.1,3083959477633.35
Russia,2006,33,172.1,1137229862730.35
United Kingdom,2006,20,48.2,2660520859212.05
India,2006,19,91.6,1182534912713.8
Canada,2006,17,50.7,1357030300358.29
Japan,2006,16,43.8,4287138774363.71
Turkey,2006,15,19.8,561984411360.158
Hong Kong,2006,14,67.2,236282223623.765
Italy,2006,13,56.5,1978181374934.65
Brazil,2006,11,21.7,1422677453441.88
France,2006,11,75.0,2267844863251.48
Saudi Arabia,2006,9,57.9,455837853100.899
Israel,2006,8,21.1,215837698469.191
Spain,2006,8,29.8,1194247575041.8
Sweden,2006,8,66.8,436567442203.266
China,2006,7,8.5,4982879973774.79
Malaysia,2006,7,17.1,197336779111.682
Mexico,2006,7,45.6,1052569035045.56
Switzerland,2006,6,25.4,590436050103.238
Australia,2006,5,12.5,1054328458936.16
Netherlands,2006,4,11.5,716631413655.269
Norway,2006,4,10.8,348291164617.133
Taiwan,2006,4,11.3,0.0
Austria,2006,3,8.7,348276446973.261
Kuwait,2006,3,15.2,97280314521.3311
Philippines,2006,3,4.5,188901594325.143
Poland,2006,3,4.0,348521872927.444
Singapore,2006,3,9.0,194361682395.941
South Korea,2006,3,11.3,1075146392089.85
Thailand,2006,3,8.1,302984491694.587
United Arab Emirates,2006,3,9.3,285788137266.095
Belgium,2006,2,5.0,415284559325.884
Colombia,2006,2,8.9,200393418124.055
Egypt,2006,2,7.4,228387426641.133
Ireland,2006,2,3.5,220988938640.086
Kazakhstan,2006,2,4.7,119979075291.852
South Africa,2006,2,7.9,282539679229.874
Ukraine,2006,2,2.9,108652697104.212
Venezuela,2006,2,9.9,750547640.198934
Argentina,2006,1,1.7,470325565798.353
Chile,2006,1,4.1,175189211413.976
